Artist,Popularity Score
Kendrick Lamar,903
The Weeknd,899
Coldplay,892
Billie Eilish,889
Sabrina Carpenter,884
SZA,879
Morgan Wallen,863
Bruno Mars,861
Drake,859
Lady Gaga,853
"Tyler, The Creator",852
Olivia Rodrigo,852
Travis Scott,851
Benson Boone,850
JENNIE,848
Eminem,847
Playboi Carti,847
Frank Ocean,847
Future,845
Linkin Park,845
Kanye West,844
Taylor Swift,844
Pitbull,840
Post Malone,840
Arctic Monkeys,838
Chappell Roan,837
Tate McRae,836
Metro Boomin,833
One Direction,833
Cigarettes After Sex,832
The Marías,831
Calvin Harris,831
XXXTENTACION,830
Radiohead,828
Shakira,827
Charli xcx,826
Red Hot Chili Peppers,826
PARTYNEXTDOOR,825
Harry Styles,824
Lana Del Rey,823
TV Girl,821
Ed Sheeran,821
J Balvin,820
A$AP Rocky,819
The Neighbourhood,817
Justin Bieber,817
Maroon 5,816
Chris Brown,815
Fleetwood Mac,813
21 Savage,811
Juice WRLD,811
Imagine Dragons,810
AC/DC,809
Twenty One Pilots,806
Lorde,805
BigXthaPlug,805
Noah Kahan,804
Romeo Santos,804
Mac DeMarco,804
beabadoobee,804
The Chainsmokers,803
Don Omar,802
Rihanna,802
Avicii,802
Kali Uchis,802
Guns N' Roses,801
Marshmello,801
Gunna,799
Green Day,799
J. Cole,798
Ozuna,798
Miley Cyrus,797
ABBA,797
Ariana Grande,796
USHER,796
Khalid,796
Flo Rida,795
Halsey,795
Tame Impala,795
Lil Baby,791
Kesha,790
Mitski,790
Justin Timberlake,790
OneRepublic,790
Billy Joel,790
Britney Spears,790
Clairo,789
Aventura,789
Hozier,787
Ty Dolla $ign,786
The Beatles,786
Selena Gomez,786
Mac Miller,783
Brent Faiyaz,783
Sam Smith,782
Limp Bizkit,781
Deftones,781
Ne-Yo,781
Gorillaz,780
David Guetta,780
Nirvana,779
Katy Perry,779
Bryson Tiller,779
Lil Peep,779
Elton John,779
James Arthur,778
Paramore,777
System Of A Down,776
GIVĒON,776
Young Thug,775
Sia,773
The Rolling Stones,772
$uicideboy$,772
The Smiths,772
My Chemical Romance,772
2Pac,771
Fall Out Boy,770
Conan Gray,769
Kodak Black,768
DJ Snake,768
Alicia Keys,768
Bailey Zimmerman,767
LISA,767
Lil Wayne,767
Nickelback,767
The Offspring,766
Lewis Capaldi,766
Daft Punk,766
The Lumineers,765
Slipknot,765
Tory Lanez,764
Creedence Clearwater Revival,764
Tyler Childers,764
JAY-Z,763
Lil Uzi Vert,761
d4vd,760
Trippie Redd,760
bbno$,759
Dr. Dre,758
The Kid LAROI,757
PinkPantheress,756
Rex Orange County,756
Cardi B,755
Jack Harlow,755
Alice In Chains,753
Empire Of The Sun,753
Miguel,753
Foo Fighters,753
The Killers,750
Dominic Fike,750
The Police,749
Whitney Houston,748
Jelly Roll,747
Riley Green,747
Bebe Rexha,747
Wiz Khalifa,746
Tems,746
Aerosmith,746
Pearl Jam,745
blink-182,745
Imogen Heap,744
50 Cent,744
The Cranberries,744
Eagles,742
Bon Iver,742
Three Days Grace,741
Zach Top,738
Jon Pardi,737
The Notorious B.I.G.,737
Luke Bryan,737
Korn,737
Nicki Minaj,736
Creed,735
Thomas Rhett,735
Jason Aldean,733
Faye Webster,733
T-Pain,733
Baby Keem,732
Christina Aguilera,730
Lauv,730
Sublime,729
NLE Choppa,728
Leon Bridges,728
Alex G,728
Djo,727
Outkast,727
The Strokes,726
Lil Yachty,725
Wizkid,725
mgk,724
Myles Smith,723
Adrianne Lenker,723
Lynyrd Skynyrd,722
Snoop Dogg,721
Weezer,721
Queen,721
G-Eazy,721
Daryl Hall & John Oates,720
Mötley Crüe,720
Lola Young,719
Kings of Leon,719
Metallica,719
Journey,719
Tainy,718
Ellie Goulding,718
Disclosure,717
Swae Lee,715
Macklemore,715
Glass Animals,715
George Ezra,715
Megan Thee Stallion,714
Lizzy McAlpine,714
Offset,714
Tears For Fears,713
Zac Brown Band,712
John Summit,712
Tyga,712
Chief Keef,710
Cage The Elephant,709
Papa Roach,709
Jungle,709
Ice Cube,708
Florence + The Machine,707
David Bowie,706
Leon Thomas,704
Timbaland,702
girl in red,702
The 1975,701
Lil Tracy,701
Van Morrison,699
Rae Sremmurd,699
R.E.M.,698
Kane Brown,698
Vance Joy,697
Nelly,696
TOTO,696
Daya,696
Addison Rae,695
Tucker Wetmore,694
Hotel Ugly,694
Sean Paul,691
3 Doors Down,691
Lee Brice,690
Mt. Joy,690
MGMT,690
Train,690
Rod Stewart,689
Rick Ross,689
ScHoolboy Q,688
America,687
Wallows,687
Men I Trust,687
Khruangbin,686
Rainbow Kitten Surprise,685
French Montana,684
Joey Bada$$,683
Skepta,683
Incubus,683
KISS,682
Audioslave,681
Wale,681
Bomba Estéreo,680
Foster The People,680
The Fray,679
T.I.,678
Vacations,678
Gigi Perez,677
Tokischa,676
Fetty Wap,675
Colter Wall,675
Whiskey Myers,674
Mazzy Star,674
AJR,673
The Goo Goo Dolls,672
Beach House,671
a-ha,671
Suki Waterhouse,671
Mark Ronson,671
John Legend,670
The Backseat Lovers,669
Miranda!,668
Big Thief,667
Eyedress,667
Tom Petty and the Heartbreakers,666
The Doobie Brothers,666
A$AP Ferg,666
Soundgarden,665
Flume,664
Massive Attack,663
Maribou State,663
Strawberry Guy,663
The Game,662
WILLOW,662
Gucci Mane,662
Ravyn Lenae,662
Aaron May,661
Patrick Watson,658
Lloyd,657
Shaboozey,656
Ruth B.,656
The White Stripes,655
All Time Low,653
2 Chainz,652
Logic,652
Chevelle,652
Counting Crows,650
Ludacris,646
Rob Zombie,644
Blood Orange,644
Pouya,642
Richy Mitch & The Coal Miners,641
Mustard,640
The Paper Kites,640
Soulja Boy,637
The Cardigans,636
Third Eye Blind,636
Portugal. The Man,635
Black Sabbath,634
bôa,634
Justice,634
Jimmy Eat World,633
Hanumankind,632
Portishead,632
Air,629
Boston,628
Nelly Furtado,628
Nine Inch Nails,627
Hippie Sabotage,627
HAYLA,626
Cults,625
Natasha Bedingfield,624
BØRNS,624
Aphex Twin,622
Franz Ferdinand,621
ARTBAT,621
De La Soul,619
Father John Misty,619
Macklemore & Ryan Lewis,617
Rio Romeo,616
Oh Wonder,611
Jamie Foxx,611
Holly Walker,611
salvia palth,609
LCD Soundsystem,609
Surf Curse,608
M83,607
Mom Jeans.,606
Pusha T,604
MORTEN,603
Rich Brian,602
Rhye,602
Wyclef Jean,601
Dean Blunt,600
Modest Mouse,599
Keane,599
M.I.A.,598
deadmau5,598
Beach Weather,596
Earl Sweatshirt,596
Sevdaliza,596
Jay Rock,594
Subtronics,594
Skylar Grey,592
WALK THE MOON,592
Metronomy,590
Popcaan,590
Thievery Corporation,589
Dido,587
The Temper Trap,586
SLANDER,585
Villano Antillano,585
Pinegrove,583
Ray Dalton,582
Bonobo,582
Zeds Dead,581
100 gecs,581
Fitz and The Tantrums,580
The Chemical Brothers,580
Kaskade,579
Jamie xx,578
Ryan Lewis,578
AFROJACK,577
Izzamuzzic,577
Lil Jon,576
Poolside,576
Liana Flores,576
Jordana,575
Waka Flocka Flame,575
BICEP,573
Lø Spirit,572
Bonn,571
Run The Jewels,567
Julien Marchal,567
Declan McKenna,563
Benny Benassi,563
Obskür,562
GRiZ,562
Mick Gordon,562
Paul Russell,561
DVBBS,560
Cafuné,558
Lily-Rose Depp,556
Coolio,555
Yseult,553
OurVinyl,553
GROUPLOVE,552
Roar,551
LP Giobbi,551
Mos Def,551
Pabllo Vittar,551
Finger Eleven,548
Martin Jensen,547
Bob Moses,546
Thom Yorke,544
Grabbitz,544
RL Grime,544
AlunaGeorge,543
Nu,543
Underworld,542
Nightmares On Wax,542
St. Vincent,541
Vundabar,540
Rezz,539
DJ Shadow,538
The Rare Occasions,538
Björk,538
Neon Trees,536
Zero 7,536
The Walters,536
"Dream, Ivory",535
Basement Jaxx,535
Capital Cities,534
Clams Casino,534
Panda Bear,534
MKLA,532
Sixpence None The Richer,532
NGHTMRE,532
What So Not,525
DNMO,523
Romy,522
The Avalanches,522
Jo.Ke,520
Dr. Dog,520
Garbage,520
Little Dragon,519
Sam Gellaitry,518
Tycho,517
Dabin,517
George Martin,516
Satin Jackets,516
Nitty Gritty Dirt Band,513
Alison Wonderland,510
RIMON,509
Dragonette,508
✝✝✝ (Crosses),504
Kai Wachi,504
Moby,503
Scrufizzer,503
Kelly Rowland,503
Flying Lotus,500
Keri Hilson,499
Uncle Lucius,499
San Holo,497
Peter Cat Recording Co.,497
Bipolar Sunshine,494
Wax Tailor,494
Joy Orbison,493
Rejjie Snow,488
Goldfrapp,488
Fatboy Slim,487
Gerard Way,486
Tensnake,483
Gerry Rafferty,482
Francis Lai,478
Gramatik,478
Bibio,475
Zacari,475
Quantic,474
Róisín Murphy,474
Julie Doiron,473
Wheatus,469
Kalmi,469
Sohodolls,467
Borgeous,465
Caribou,463
Big Gigantic,462
Jayda G,454
Orgy,452
The Knife,451
Gary Go,451
Joy Again,446
Soft Blade,440
Orbital,439
Télépopmusik,436
Ladytron,435
Rick Springfield,433
Kx5,423
Sneaker Pimps,423
Holy Fuck,418
Bootsy Collins,416
Fever Ray,411
Outlawz,408
ROZES,404
Andreya Triana,402
Honey Dijon,401
Cara Melín,400
Dwele,400
24hrs,394
Las Ketchup,394
Vessel,392
Sammie,392
Saint Sinner,387
Tomike,387
Ookay,378
Salaam Remi,374
Syleena Johnson,368
Sophie Barker,367
BYNX,364
Colby O'Donis,361
Roscoe Dash,343
Branchez,343
Dent May,340
Horace Andy,310
Elizabeth Fraser,299
Roger,289
TYSON,265
Beth Hirsch,263
Nayer,251
Rob Swire,242
Emily Yacina,238
George Maple,227
Angela McCluskey,223
Christian Gaubert,221
Shaun Ryder,219
Olivia,219
Nellee Hooper,217
L.V.,215
rainy bear,202
kai,175
Shara Nelson,157
Rakhi Singh,135
Christoph Andersson,105
Matthew Santos,79
Wanz,71
Dina Rae,68
Chris Martin,50
Hope Sandoval,24
Kyla,21
D.O.E.,19
Sarah Jay Hawley,11
John Ryan,0
Chris James,0
Gordon Tracks,0
